id;name;host_id;host_name;neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
10962;Lovely room 2 & garden;;;;;;;;;;;;
11452;Clean and Quiet in Brooklyn;7355;Vt;Brooklyn;Bedford-Stuyvesant;Private room;35;60;0;;;1;365
11708;Cute apt in artist's home;44145;Tyrome;Brooklyn;Bushwick;Entire home/apt;85;2;231;22/06/2019;1.96;2;22
;Country space in the city;45445;Harriet;Brooklyn;Flatbush;Private room;150;1;0;;;1;365
12048;LowerEastSide apt share shortterm 1;7549;;Manhattan;Lower East Side;Shared room;40;1;214;05/07/2019;1.81;4;188
12192;ENJOY Downtown NYC!;46978;Edward;Manhattan;East Village;Private room;68;2;245;21/06/2019;2.08;2;96
;Beautiful Sunny Park Slope Brooklyn;47610;Abdul;Brooklyn;South Slope;Entire home/apt;120;3;15;27/05/2019;0.39;1;345
12303;1bdr w private bath. in lofty apt;47618;Yolande;Brooklyn;Fort Greene;Private room;120;7;25;30/09/2018;0.23;1;311
12318;West Side Retreat;16800;Cyn;Manhattan;Upper West Side;Private room;135;4;81;16/06/2019;0.69;1;273
12343;BEST BET IN HARLEM;47727;Earl;Manhattan;Harlem;Entire home/apt;150;7;97;13/06/2019;0.84;1;309
12627;Entire apartment in central Brooklyn neighborhood.;49670;Rana;Brooklyn;Prospect-Lefferts Gardens;Entire home/apt;150;29;11;05/06/2019;0.49;1;95
12937;1 Stop fr. Manhattan! Private Suite,Landmark Block;50124;Orestes;Queens;Long Island City;Private room;130;3;248;01/07/2019;2.25;1;215
12940;Charming Brownstone 3 - Near PRATT;50148;Adreinne;Brooklyn;Bedford-Stuyvesant;Entire home/apt;110;7;61;25/05/2019;0.52;1;265
13050;bright and stylish duplex;50846;Jennifer;Brooklyn;Bedford-Stuyvesant;Entire home/apt;115;3;11;01/01/2017;0.10;1;0
13394;Fort Greene brownstone ;52335;Alexander;Brooklyn;Fort Greene;Private room;80;3;135;17/06/2019;1.16;2;192
13808;Blue Room for 2 in Brownstone for $1350 monthly;54275;JT And Tiziana;Brooklyn;Bedford-Stuyvesant;Private room;80;1;112;16/06/2019;1.01;3;251
14287;Cozy 1BD on Central Park West in New York City;56094;Joya;Manhattan;Upper West Side;Entire home/apt;151;2;73;07/07/2019;0.63;1;302
14290;* ORIGINAL BROOKLYN LOFT *;56104;James;Brooklyn;Williamsburg;Entire home/apt;228;3;82;17/05/2019;0.70;1;140
14314;Greenpoint Place...Has It All! ;56246;Jeanne;Brooklyn;Greenpoint;Entire home/apt;144;2;328;29/06/2019;2.82;1;234
14322;Beautiful Apartment in Manhattan!!!;56284;Francesca;Manhattan;Kips Bay;Entire home/apt;200;7;19;25/03/2019;0.22;1;257
14377;Williamsburg 1 bedroom Apartment;56512;Joanna;Brooklyn;Williamsburg;Entire home/apt;150;30;105;22/06/2019;0.90;1;30
14991;Great Location, Manhattan Bedroom!;59023;Bianca;Manhattan;Lower East Side;Private room;110;5;19;18/05/2019;0.17;1;301
15220;Best Location in NYC! TIMES SQUARE!;59734;Luiz;Manhattan;Hell's Kitchen;Private room;69;2;289;09/06/2019;2.49;2;294
15338;Room in Greenpoint Loft w/ Roof;32169;Andrea;Brooklyn;Greenpoint;Private room;49;4;138;04/06/2019;1.19;3;320
15341;**Bright Nolita Apt w Doorman/Elevators/Gym**;60049;Ted;Manhattan;SoHo;Entire home/apt;180;30;21;29/06/2019;0.30;1;154
15385;Very, very cozy place;60252;Cristina;Brooklyn;Williamsburg;Private room;80;2;42;30/06/2019;0.38;1;263
15396;Sunny & Spacious Chelsea Apartment;60278;Petra;Manhattan;Chelsea;Entire home/apt;375;180;5;03/11/2018;0.12;1;180
