id;name;host_id;host_name;neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
1458987;Room in My Apt. Rego Park Queens NY;7645338;King;Queens;Rego Park;Private room;35;4;76;04/02/2019;1.07;1;5
1460017;Lovely Factory Loft in Greenpoint!;7503643;Vida;Brooklyn;Greenpoint;Entire home/apt;129;30;6;11/09/2018;0.08;52;277
1461721;3B. Private  Rm in Guesthouse Manhattan;7831209;Bobi;Manhattan;East Harlem;Private room;55;1;167;07/05/2019;2.78;10;363
1461814;Zen Supersized Master Suite;3604585;Jenny;Brooklyn;Flatbush;Private room;69;4;34;01/01/2019;0.72;3;68
1461873;Cozy, quiet single room in Brooklyn brownstone;279845;Chantille & Linda;Brooklyn;Prospect Heights;Private room;68;3;11;27/01/2019;0.33;2;187
1461965;Private Bedroom WITH a Living room!;7833913;Gya;Brooklyn;Crown Heights;Private room;69;2;90;02/07/2019;1.25;1;186
1462341;Great Apt/Roof in Hells Kitchen;7837136;Jorion;Manhattan;Hell's Kitchen;Entire home/apt;300;2;23;23/09/2018;0.32;1;365
1465446;Historic Townhouse with Private Backyard;7850260;Raymond;Manhattan;Harlem;Entire home/apt;175;1;152;04/07/2019;4.54;3;248
1466081;JFK Jupiter Suites w/ Parking;7853251;Enyinne;Queens;St. Albans;Private room;59;1;190;16/06/2019;2.64;5;359
1466534;Jupiter Suites- Rm #1 (JFK);7853251;Enyinne;Queens;St. Albans;Private room;59;1;19;29/06/2016;0.26;5;359
1466552;ALL YOU NEED!! HK/TIME SQ./THEATER (READ REVIEWS);7112116;Ty;Manhattan;Theater District;Private room;169;2;33;10/04/2019;0.47;2;340
1466688;Bright Apartment In Williamsburg;7856381;Jp;Brooklyn;Williamsburg;Entire home/apt;120;2;1;17/05/2015;0.02;1;0
1467106;Bedford Stuyvesant Urban Hang Suite;7858405;Diavanna;Brooklyn;Bedford-Stuyvesant;Entire home/apt;155;3;227;14/06/2019;3.16;1;244
1467238;Charming Prime Williamsburg 2 bedroom Entire home;7859118;Kristen & Corey;Brooklyn;Williamsburg;Entire home/apt;165;2;80;19/07/2017;1.28;1;188
1467392;VERY BIG, BEDROOM/ PRIVATE BATHROOM.;7858210;Maxime;Manhattan;Harlem;Private room;60;2;125;28/06/2019;1.77;4;167
1467618;1 min to Bedford Ave (L) Station;7860852;Matthew;Brooklyn;Williamsburg;Entire home/apt;190;3;10;26/05/2019;0.26;2;0
1469895;Bright and Spacious West Village Studio;6263540;Adam;Manhattan;West Village;Entire home/apt;150;5;3;01/01/2018;0.13;1;0
1469955;Luxury 1 Bedroom Upper West;10528;Olivier;Manhattan;Upper West Side;Entire home/apt;150;30;18;20/05/2019;0.29;2;135
1470069;Sunny Apartment in Clinton Hill;4130492;Keiko & Ilya;Brooklyn;Bedford-Stuyvesant;Entire home/apt;120;4;26;05/07/2019;0.53;1;10
1471244;Cozy w/amazing city views by PS1;4260529;Harry;Queens;Long Island City;Private room;349;1;26;13/12/2016;0.36;2;365
1471952;Jupiter Suites- Rm #2- (JFK);7853251;Enyinne;Queens;St. Albans;Private room;59;1;14;22/10/2016;0.19;5;359
1472002;SHARED STUDIO AT MANHATTAN'S HEART BY C. PARK;3003563;Rocio;Manhattan;Theater District;Shared room;99;2;62;23/05/2019;2.22;1;21
1472009;Jupiter Suites, Rm #3- (JFK);7853251;Enyinne;Queens;St. Albans;Private room;59;1;32;21/09/2016;0.45;5;359
1474752;Dope Williamsburg Apartment;2259113;Ange;Brooklyn;Williamsburg;Private room;110;3;23;06/05/2019;0.32;1;159
1474980;Be my Guest! Cozy East Village apt!;823392;Karen;Manhattan;East Village;Private room;73;12;11;29/06/2019;0.16;1;21
1475084;Fun LES 1br, close to everything!;7895068;Ana;Manhattan;Chinatown;Entire home/apt;179;3;201;14/06/2019;2.84;1;256
1475427;Cozy Twin for the NYC Win! [Gay/LGBT Friendly];7896605;Daveyjoe!;Queens;Sunnyside;Private room;102;5;8;02/01/2018;0.24;1;0
1475631;BLYN BROWNSTONE CORZY CORNER in NYC;2015914;Majar;Brooklyn;Bushwick;Private room;62;3;95;11/02/2019;1.32;8;338
1475661;Gorgeous Apt. 20 min to Manhattan!;7897301;Rickey;Queens;Astoria;Entire home/apt;140;2;13;01/09/2014;0.18;1;0
1476238;Spacious Midtown 1BR Apt - 4.5 Stars/21 Reviews;7324189;Buke;Manhattan;Midtown;Entire home/apt;300;15;6;07/11/2018;0.58;2;98
1476484;Spacious Sunny SoHo-Awesome Locale!;7901999;Steven;Manhattan;Nolita;Entire home/apt;299;2;26;30/09/2017;0.37;1;88
1478315;1 bedroom in heart of Fort Greene;1834942;Tessa;Brooklyn;Clinton Hill;Entire home/apt;104;12;11;30/07/2017;0.15;1;15
1478946;Prime Chelsea Location,Washer/Dryer;7245581;Michael;Manhattan;Chelsea;Entire home/apt;98;120;38;15/05/2019;0.54;19;290
1479113;Spacious, quiet room with private full bathroom.;176836;Gil;Manhattan;Lower East Side;Private room;49;1;90;01/01/2019;1.29;1;0
1479283;Great Chelsea Location, Couch/2nd bed, Free WiFi;7245581;Michael;Manhattan;Chelsea;Entire home/apt;96;115;45;15/03/2019;0.63;19;210
1479349;Sunny Private Room in Williamsburg;5464042;Nicole;Brooklyn;Williamsburg;Private room;80;3;130;04/05/2017;1.85;1;0
1479731;Master Bedroom in Modern Loft Apt.;7809536;Brian;Brooklyn;Crown Heights;Private room;89;3;147;01/07/2019;2.05;1;362
1480002;Huge rm in 1500sq ft loft w/lots ;7919277;Daren;Manhattan;Lower East Side;Private room;125;1;1;16/09/2013;0.01;1;364
1481907;Charming BK Townhouse Home by Highland Park!;7938019;Megan;Brooklyn;Cypress Hills;Entire home/apt;345;2;78;30/06/2019;2.49;1;185
1483688;Peaceful Studio in Fort Greene;477140;Mark;Brooklyn;Fort Greene;Entire home/apt;150;3;17;24/09/2016;0.43;1;0
1484031;Private room in cozy Harlem, NY Apt;6228539;Michelle;Manhattan;Harlem;Private room;100;2;15;20/05/2019;0.21;2;326
1484310;1 bed aprt best location in NewYork;7727015;Lucie;Manhattan;Lower East Side;Entire home/apt;120;5;9;28/09/2016;0.16;1;0
1486099;All New Bohemian Chic 1BR Loft;7503643;Vida;Brooklyn;Greenpoint;Entire home/apt;149;30;9;18/02/2018;0.13;52;343
1487222;2BR Sunlight & Secret Garden Apartment;1308282;Sam;Brooklyn;Crown Heights;Entire home/apt;145;4;18;25/11/2018;0.25;1;0
1489426;New york Multi-unit building;7964729;Justin;Manhattan;Financial District;Entire home/apt;390;3;1;13/09/2018;0.10;1;0
1490223;Private Bed & Bath in a townhouse:Charm-Calm-Cozy-;6586128;Martine;Bronx;Port Morris;Private room;60;21;19;02/01/2019;0.28;2;178
1491991;Charming Brwnstn Duplex sleeps 5;7959444;Molly;Brooklyn;Park Slope;Entire home/apt;190;3;17;22/10/2018;0.28;1;167
1492286;West Village/SoHo Prvt Rm;7977178;Abby;Manhattan;SoHo;Private room;80;3;51;26/04/2019;0.79;3;276
1492856;small room in bedstuy P;6885157;Randy;Brooklyn;Bedford-Stuyvesant;Private room;55;1;162;19/06/2019;2.26;15;334
1494527;Huge Loft In South Williamsburg;7988149;Moses;Brooklyn;Williamsburg;Entire home/apt;275;2;195;30/06/2019;2.74;1;331
1496319;Private Huge 2br Williamsburg Artist Apartment!;7997061;Rebecca;Brooklyn;Williamsburg;Entire home/apt;250;1;87;27/06/2019;1.23;1;272
1497024;New York City Historical Brownstone Ground Floor;8000315;Naima;Manhattan;Harlem;Entire home/apt;100;2;271;30/06/2019;3.85;2;270
1499635;Gorgeous apartment by Grand Central;1601577;Tilia;Manhattan;Murray Hill;Entire home/apt;600;4;7;04/09/2015;0.10;1;0
1503618;Private, quiet Antique room on first floor duplex;6457253;Irene;Brooklyn;Sunset Park;Private room;66;2;4;12/05/2019;0.08;1;365
1503670;Best location in Brooklyn!;2024924;Lisa;Brooklyn;Park Slope;Private room;65;7;58;29/03/2019;0.83;2;333
1506985;Garden Rowhouse Duplex-2 bd/3 bth;8049757;Omar;Manhattan;East Harlem;Entire home/apt;220;4;60;19/06/2019;0.85;1;332
1507845;Rare large modern garden studio, comfy;;;;;;;;;;;;
1511216;Private room in 2 bedroom apartment;8071107;Tov;Brooklyn;Williamsburg;Private room;70;2;31;31/03/2017;0.44;2;20
1511303;Private fits 3 ppl. Prospect Park ;1354796;Natasha;Brooklyn;Prospect-Lefferts Gardens;Private room;49;5;84;16/06/2019;1.17;3;296
1511534;Huge Room with View in Bushwick!;8071900;Jordan;Brooklyn;Bushwick;Private room;47;5;21;30/11/2018;0.36;1;56
1512006;Designer Space For Families:  2 Bed | 2 Bath;4731948;Kiki;Manhattan;Lower East Side;Entire home/apt;299;1;200;02/06/2019;2.80;4;100
1514939;Bright Studio Apt on Prospect Park;8088731;Jon;Brooklyn;Prospect-Lefferts Gardens;Entire home/apt;79;7;19;18/02/2019;0.43;1;0
1515026;Garden Apartment, Ft. Greene;1396183;Lee;Brooklyn;Fort Greene;Entire home/apt;115;4;12;22/02/2019;0.17;1;0
1515611;AMAZING, HUGE NEW YORK LOFT!;8092548;Habib;Brooklyn;Clinton Hill;Entire home/apt;229;3;38;25/06/2019;0.54;1;364
1515659;Relax at our duplex + backyard;8092818;Romi;Brooklyn;Bedford-Stuyvesant;Entire home/apt;115;5;3;02/04/2014;0.04;1;0
1515692;Beautiful Lower East Side Penthouse;4358024;Jonathan;Manhattan;Greenwich Village;Entire home/apt;1100;2;17;20/10/2018;0.25;2;364
1516120;Art Dealer's One of a Kind Williamsburg Aptartment;228583;Angelo;Brooklyn;Williamsburg;Entire home/apt;165;4;10;06/10/2018;0.14;1;49
1517917;Elegant modern 1-bedroom in Bed-Stuy;1430128;Jenn;Brooklyn;Bedford-Stuyvesant;Entire home/apt;67;6;10;30/05/2018;0.39;1;0
1519957;BedStuy with a View;8112941;Cat;Brooklyn;Bedford-Stuyvesant;Private room;68;3;52;24/06/2019;2.44;3;72
1519994;McSimon's | Queen Room | 10 mins from JFK;8113165;Cynthia And Froebel;Brooklyn;Canarsie;Private room;85;3;1;04/01/2019;0.16;2;132
1520806;HUGE 2BR+1BA Apt For Group Only 15 Min To NYCity;347642;Jullien;Brooklyn;Bedford-Stuyvesant;Entire home/apt;170;3;134;20/06/2019;2.00;3;209
1521318;modern, convenient safe Midwood, Brooklyn;8119708;Charlotte & Aaron;Brooklyn;Midwood;Private room;95;3;46;01/07/2019;0.76;3;86
1521335;Private Room in Brooklyn Brownstone;8120180;Ivey;Brooklyn;Bedford-Stuyvesant;Private room;45;3;2;09/07/2016;0.05;1;0
1523556;Simply brooklyn. Bedroom with office off L train.;7304881;Amanda;Brooklyn;Williamsburg;Private room;178;2;2;04/09/2016;0.06;1;0
1524017;CHELSEA BROWNSTONE 1BRM GARDEN APT ;8131878;Tabita;Manhattan;Chelsea;Entire home/apt;140;5;50;13/06/2019;0.91;1;328
1524302;Huge 1 Bedroom Loft at Habitat 101!;7503643;Vida;Brooklyn;Greenpoint;Entire home/apt;149;30;7;31/10/2018;0.11;52;281
1524562;Stuyvesant Heights Townhouse;4540899;Tee;Brooklyn;Bedford-Stuyvesant;Entire home/apt;89;3;86;26/05/2019;1.29;1;223
1524711;Sunny 1-Bedroom Apartment: Astoria;8135210;Milena;Queens;Astoria;Entire home/apt;108;4;3;01/12/2015;0.06;1;0
1524895;NYC apartment! Bright and spacious!;3217480;Victoria;Manhattan;Washington Heights;Entire home/apt;138;7;14;24/04/2019;0.30;1;13
1525602;Perfect Temporary Brooklyn Home;1200603;Andrea;Brooklyn;Crown Heights;Entire home/apt;115;2;121;31/05/2019;1.70;1;39
1526741;Comfy Couch in a nice and safe apt!!;6486116;Ari;Manhattan;East Harlem;Shared room;69;1;136;04/04/2019;2.13;4;103
1530386;A Lovely 2br in Chelsea;8163133;Nikhil;Manhattan;West Village;Entire home/apt;269;2;68;20/06/2019;1.14;1;311
1530660;Boutique Williamsburg Duplex Apartment;173980;Will And Jo;Brooklyn;Williamsburg;Entire home/apt;160;30;13;05/01/2014;0.18;2;252
1530919;2bd in heart of Soho/Little Italy!;4045167;Manuel;Manhattan;SoHo;Entire home/apt;150;1;2;18/03/2015;0.03;1;207
1533652;Charming Central Park Studio: Summer Park Strolls!;8178950;Mari;Manhattan;Upper West Side;Entire home/apt;121;7;76;30/06/2019;1.11;1;151
1533807;Sunny Spacious Dwelling;8179855;Kris;Brooklyn;Flatbush;Entire home/apt;95;7;22;21/06/2019;0.49;1;20
1534212;Great  studio with 2 rooms and kitchen;7365834;Alex;Brooklyn;Sheepshead Bay;Entire home/apt;99;3;66;27/05/2019;1.05;5;365
1534782;Cozy;8184930;Leonice;Brooklyn;Prospect Heights;Private room;40;1;73;13/05/2019;1.10;1;65
1535607;EV, Hippest East Village;2333904;Stephanie;Manhattan;East Village;Private room;89;28;23;05/05/2019;0.38;3;125
1538077;New Listing!  Terrific Price.;8200820;Valerie;Brooklyn;Greenpoint;Private room;50;2;11;03/02/2014;0.16;2;157
1542279;nice room in bedstuy L;6885157;Randy;Brooklyn;Bedford-Stuyvesant;Private room;55;1;126;19/06/2019;1.77;15;343
1546518;Sunny, pretty Park Slope 3+ bed apt;66193;Brennan;Brooklyn;South Slope;Entire home/apt;224;2;229;24/06/2019;3.28;1;257
1546678;One Bedroom in Astoria NY;7646038;Malik;Queens;Ditmars Steinway;Entire home/apt;120;2;2;12/09/2018;0.19;1;0
1546945;(1) CLEAN HOME AWAY FROM HOME!;4983320;Terri;Queens;Flushing;Private room;59;1;116;06/09/2017;1.63;2;0
1549413;Beautiful Studio in Heart of Harlem;4548229;Brinton;Manhattan;Harlem;Entire home/apt;135;31;177;06/06/2019;2.49;4;340
1551044;Nexus of the Universe!;8261145;Tommy;Manhattan;Lower East Side;Entire home/apt;175;3;105;19/06/2019;1.49;1;274
1552242;Single family home 2 bedrooms  2 bathrooms;8126811;Jessica;Queens;Long Island City;Entire home/apt;250;3;184;26/06/2019;2.65;1;84
1555919;East Village New Luxury Bldg - 1BR;8282962;Anna;Manhattan;East Village;Entire home/apt;156;2;31;16/05/2019;0.44;1;3
1559435;Gorgeous & Spacious Full 1 BR Apt;5191738;Alisha;Brooklyn;Bedford-Stuyvesant;Entire home/apt;75;2;36;25/06/2019;0.66;1;0
1559912;Quiet Large 1BR Near Columbia;8301763;Kevin;Manhattan;Morningside Heights;Entire home/apt;79;5;9;12/10/2016;0.13;1;0
1560339;Entire Modern Studio Apartment/Prime Location;3038687;Karen;Manhattan;Upper West Side;Entire home/apt;104;30;27;31/05/2019;0.38;8;137
1560408;Airy Designer Loft in Williamsburg;8300712;Andrew And Stine;Brooklyn;Williamsburg;Entire home/apt;280;1;124;23/06/2019;1.77;1;359
1564553;Cozy Room in Best Downtown NYC Location;8323145;Madeleine;Manhattan;Nolita;Private room;80;4;131;07/06/2019;1.88;1;34
1566326;Studio in South Williamsburg;7776144;Bertte;Brooklyn;Williamsburg;Entire home/apt;136;30;50;08/07/2018;0.72;1;0
1567225;NYC LARGE 3 BR West Side Manhattan, New York City;8336526;Matthew;Manhattan;Upper West Side;Entire home/apt;550;4;17;29/04/2019;0.27;1;201
1569396;Ditmas Park Carriage House Loft;8111912;Jed;Brooklyn;Flatbush;Entire home/apt;190;2;95;29/06/2019;1.65;2;349
1570204;SPECIAL OFFER* 1BDR IN EAST VILLAGE;377151;Shervin;Manhattan;East Village;Entire home/apt;199;2;29;30/06/2019;0.47;1;361
1571455;"NEW YORK,  Queens    ""  WELCOME  "" ";8316059;Jorge;Queens;Woodside;Private room;75;2;25;28/10/2018;0.40;1;365
1572815;Private room - Heart of East Village;4106680;Alexandre;Manhattan;East Village;Private room;100;1;212;23/06/2019;3.05;1;278
1573068;COZY STUDIO;8362282;Drica 2017;Manhattan;Upper West Side;Entire home/apt;125;1;15;24/05/2016;0.21;1;362
1576883;Entire Floor of Brooklyn Brownstone;6866353;Julie;Brooklyn;Bushwick;Private room;75;2;12;01/07/2018;0.24;1;0
1578103;Private room in Harlem gem with fab New Yorkers!;245881;Steph;Manhattan;Harlem;Private room;99;2;30;29/06/2019;2.61;1;24
1578721;Huge, Sunny Greenpoint Flat;999689;Eric;Brooklyn;Greenpoint;Private room;35;30;5;23/04/2014;0.07;1;97
1578776;Nice private room in Astoria;4645357;Beatrix;Queens;Long Island City;Private room;51;1;165;23/06/2019;2.36;1;361
1581579;★★★★★- Lux Astoria |❤of NYC| Near subway/Manhattan;7748180;Ryan;Queens;Ditmars Steinway;Entire home/apt;188;2;260;07/07/2019;3.97;1;312
1582540;1-bedroom APT SoHo / NoLITa;8422502;Stephan;Manhattan;NoHo;Entire home/apt;90;7;2;23/12/2015;0.04;1;0
1583111;Modern Design in Sunny Duplex;4894525;Am;Brooklyn;Crown Heights;Entire home/apt;279;3;9;31/12/2018;0.19;1;0
1583335;West Village 2 br 850 sf - right by the Hudson!;117236;Raj;Manhattan;West Village;Entire home/apt;350;4;9;11/06/2018;0.14;1;13
1583653;Private room and bathroom;8434244;William;Manhattan;East Harlem;Private room;125;2;59;16/06/2019;0.84;1;360
1584060;Safe upscale room, Flatbush, Brooklyn, near subway;8119708;Charlotte & Aaron;Brooklyn;Midwood;Private room;85;4;38;14/05/2019;0.56;3;81
1586454;Private Room With Patio In Queens;8452695;Macit;Queens;Maspeth;Private room;48;20;33;21/04/2019;0.46;2;297
1586576;Private Bedroom in QUEENS;8452695;Macit;Queens;Maspeth;Private room;56;28;14;15/04/2017;0.20;2;310
1586641;SALE- SUNNY MASTER BEDROOM NEAR MANHATTAN;8452639;C S;Brooklyn;Flatbush;Private room;84;2;68;27/05/2019;0.96;3;362
1586773;Beautiful Brownstone in West Harlem;8455776;Wendy;Manhattan;Harlem;Entire home/apt;155;1;123;24/06/2019;1.74;2;170
1586935;Luxury Gramercy Lg 1Bd w Balcony;8457613;Erin;Manhattan;Gramercy;Entire home/apt;250;365;0;;;1;365
1588221;Large 2 BR Loft Downtown NY;1400369;Ernesto;Manhattan;Chinatown;Entire home/apt;300;5;31;23/06/2019;0.45;1;278
1589248;Hip Apartment in Williamsburg;8255208;Kate;Brooklyn;Williamsburg;Entire home/apt;140;1;1;16/07/2015;0.02;1;0
1589715;Private: The Brass Room;8481125;Thomas;Manhattan;Upper East Side;Private room;120;7;19;19/04/2019;0.27;2;245
1591811;Sunlit apartment in Williamsburg;8265050;Jae;Brooklyn;Williamsburg;Entire home/apt;99;2;198;17/06/2019;2.78;2;89
1593444;Designer Home in Village Center;8289606;Stephen;Manhattan;Greenwich Village;Entire home/apt;240;7;19;23/05/2019;0.27;1;158
1596314;Gorgeous charming Manhattan 1bdrm Alexa Smart Home;4327300;Stephen;Manhattan;Washington Heights;Entire home/apt;72;7;27;25/05/2019;0.46;1;73
1598012;Close to the city, Astoria;3360223;Rosemary;Queens;Astoria;Private room;45;4;68;01/01/2019;0.96;1;0
1598033;Staten Island Apartment - 2nd floor;7875272;Mary;Staten Island;Port Richmond;Entire home/apt;250;30;1;07/10/2015;0.02;3;0
1598328;Room in heart of the West Village!;8521063;Wes;Manhattan;West Village;Private room;100;2;48;02/01/2019;0.90;1;78
1598785;SUNNY STUDIO MIDTOWN EAST W/DOORMAN;8038118;Maria;Manhattan;Midtown;Entire home/apt;175;5;116;27/05/2019;1.65;1;299
1598863;1Br apt + backyard -east village;8523970;Tanya;Manhattan;East Village;Entire home/apt;200;5;10;26/04/2019;0.14;1;0
1600917;Jupiter Suites, Rm #4 w/Bthrm-(JFK);7853251;Enyinne;Queens;St. Albans;Private room;59;1;8;11/05/2017;0.12;5;359
1601955;Cozy, QUIET Dream Home in SEAPORT;2698515;Chandler;Manhattan;Financial District;Entire home/apt;420;2;285;02/07/2019;4.02;1;294
1604488;Private room with stunning view;8548430;Bernardo & Andressa;Brooklyn;Williamsburg;Private room;120;3;142;07/07/2019;2.01;1;37
1604489;Spacious and modern Chelsea loft;8548453;Jon;Manhattan;Chelsea;Entire home/apt;295;30;3;19/09/2016;0.04;1;235
1606312;Williamsburg 2BR 2BA Hotel Condo;3130819;Shana;Brooklyn;Williamsburg;Entire home/apt;200;120;12;21/07/2014;0.17;1;306
1608220;The Heart of Bushwick!;7009551;Joseph;Brooklyn;Bushwick;Private room;48;7;61;15/02/2019;0.87;1;0
1609672;CENTRAL PARK/ TIMES SQUARE;5533135;Rodrigo;Manhattan;Hell's Kitchen;Entire home/apt;99;2;55;30/06/2019;0.78;1;182
1613110;Sunny Studio Loft @ Habitat 101;7503643;Vida;Brooklyn;Greenpoint;Entire home/apt;129;30;8;30/01/2019;0.12;52;344
1614817;PRIME apartment in East Village!;5283853;Chara;Manhattan;East Village;Entire home/apt;160;2;44;01/01/2018;0.64;2;0
1614869;Cute, quirky Park Slope Jr 1 bdroom;1254489;Randy;Brooklyn;Park Slope;Entire home/apt;142;4;41;18/06/2019;0.58;1;151
1614964;Charming Room in Astoria!!;8783166;Marinez;Queens;Astoria;Private room;120;3;12;21/05/2019;0.17;2;365
1615764;;6676776;Peter;Manhattan;Battery Park City;Entire home/apt;400;1000;0;;;1;362
1616540;Modern Clean 1 Bedroom apt  in Clinton Hill;953843;Sara;Brooklyn;Clinton Hill;Entire home/apt;130;7;26;07/03/2018;0.41;1;182
1617443;Great Artistic Studio in Historic Building;2240143;Pavel;Manhattan;Harlem;Shared room;85;3;38;27/05/2019;0.56;1;157
1617488;Rooftop Oasis in Brooklyn for Shoots & Gigs;8102595;Stephanie;Brooklyn;Bedford-Stuyvesant;Entire home/apt;600;1;48;11/10/2015;0.68;1;89
1619695;Only 10 mins to CENTRAL PARK! :);8616291;Chikie;Manhattan;Harlem;Private room;69;5;152;29/06/2019;2.14;2;110
1620225;Charming studio in Williamsburg;8619862;Karlee;Brooklyn;Williamsburg;Entire home/apt;150;3;1;18/07/2016;0.03;1;0
1620248;Large furnished 2 bedrooms- - 30 days Minimum;2196224;Sally;Manhattan;East Village;Entire home/apt;10;30;0;;;4;137
1621235;An artist place in Bedstuy;1345611;Bahiyyah;Brooklyn;Bedford-Stuyvesant;Private room;87;1;4;30/06/2019;2.26;1;12
1623431;Enormous Chrysler-View Bedroom/Bath;5440087;Dn;Manhattan;Midtown;Private room;249;3;1;30/09/2015;0.02;2;87
1624665;Bushwick Biodome Loft, Fun & Unique, Great View!;8638841;Nathan;Brooklyn;Williamsburg;Private room;65;4;142;26/06/2019;2.03;1;115
1628156;A Tree Grows in Brooklyn;8653725;Marlyn;Brooklyn;Canarsie;Entire home/apt;175;3;158;07/07/2019;2.27;1;317
1628564;Stylish Room on Express Line to Midtown;5334697;Shane;Manhattan;Washington Heights;Private room;79;5;112;02/07/2019;1.59;3;1
1630572;Private Room in Designer's NYC Apt;2935265;Andrew;Manhattan;SoHo;Private room;194;2;141;21/06/2019;2.00;2;340
1631845;1 bedroom apartment in NYC;1232988;Matthew;Manhattan;Lower East Side;Entire home/apt;150;3;19;16/06/2019;0.27;1;9
1633313;Bohemian W'Burg Duplex;8677042;Malcolm;Brooklyn;Williamsburg;Entire home/apt;241;2;1;26/12/2018;0.15;1;0
1633420;NYC Harlem cozy private room;8677477;Tia;Manhattan;Harlem;Private room;80;1;73;24/05/2019;1.08;1;309
1633924;Smart Family 1BD Retreat in Bedstuy;8680097;Zaire;Brooklyn;Bedford-Stuyvesant;Entire home/apt;120;4;72;15/06/2019;1.02;1;284
1635088;Cosy studio in great location at  UES;8685072;Agnes;Manhattan;Upper East Side;Entire home/apt;155;4;13;07/06/2019;0.22;1;0
1635672;Cute studio apt in West Village;8687489;Adam;Manhattan;West Village;Entire home/apt;150;7;40;25/11/2017;0.57;1;0
1640995;One bedroom apartment - UES;8313953;Natalie;Manhattan;Upper East Side;Entire home/apt;140;6;36;06/06/2019;0.69;1;71
1644133;Large Spacious Apt For Sublet;8726014;ELouise;Brooklyn;East Flatbush;Entire home/apt;90;1;5;03/05/2019;0.08;1;361
1644146;Quaint, beautiful studio Brooklyn;1338262;Rachel;Brooklyn;Carroll Gardens;Entire home/apt;150;3;94;01/07/2019;1.33;3;250
1645181;Lovely Brownstone-- Close to Subway;8708720;Nehprii;Brooklyn;Bedford-Stuyvesant;Entire home/apt;135;2;127;23/06/2019;1.80;1;354
1645196;Park Slope 1BR with Private Outdoor Space;4623045;Sean;Brooklyn;Park Slope;Entire home/apt;140;2;45;27/05/2019;1.64;1;31
1645667;Truly A Sweet Home away from Home.;8732694;Ravanna;Brooklyn;Bedford-Stuyvesant;Entire home/apt;130;3;220;23/06/2019;3.11;2;0
1645772;Private Entrance/Bath, 2 story Apt.;8026393;Ruth;Manhattan;Upper East Side;Private room;150;2;121;29/06/2019;1.72;1;225
1645915;Cozy 1.5BD in Parkslope Brooklyn;1967871;Lisa;Brooklyn;South Slope;Entire home/apt;115;3;185;05/06/2019;2.62;1;163
1646432;Beautiful Home Away From Home!;8732694;Ravanna;Brooklyn;Bedford-Stuyvesant;Entire home/apt;130;3;229;29/06/2019;3.32;2;259
1646838;1 BR apt in heart of the Village;8739354;Caspar;Manhattan;Greenwich Village;Entire home/apt;380;6;29;29/04/2019;0.43;1;365
1646910;Bright, Cheerful Brooklyn Apartment;2899693;Kali;Brooklyn;Williamsburg;Entire home/apt;115;20;1;10/08/2014;0.02;1;0
1649957;GRACIOUS HARLEM 1 BEDROOM;8751800;Olubode Shawn;Manhattan;Morningside Heights;Entire home/apt;125;2;21;07/05/2019;0.30;1;363
1650470;Spacious room in Bushwick L & JMZ !;8753908;Rebecca;Brooklyn;Bushwick;Private room;65;5;1;01/06/2015;0.02;1;169
1651595;Cozy Apartment, 30 min train ride to Times Square!;8759781;Augusto M Gallardo;Queens;Jackson Heights;Entire home/apt;110;9;11;01/06/2019;0.16;1;362
1652236;Amazing Spacious Room;3562322;Lord Daniel;Brooklyn;Bedford-Stuyvesant;Private room;31;6;41;03/07/2019;0.58;3;55
1652996;Large Charming 1 BR + Den  in  Brownstone Apt;517966;Shean;Brooklyn;Bedford-Stuyvesant;Entire home/apt;135;3;173;23/06/2019;2.47;2;277
1654551;West Village: Cozy, Quiet 1BR Apt;8772693;Billy;Manhattan;West Village;Entire home/apt;200;3;20;01/10/2016;0.29;1;0
1654561;Cozy room in bed-stuy;8773518;Robb;Brooklyn;Bedford-Stuyvesant;Private room;212;3;1;09/04/2019;0.33;3;109
1654713;Brooklyn Wildlife Loft rm 2;5556571;Chris;Brooklyn;Williamsburg;Shared room;40;1;34;24/01/2019;0.48;3;75
1654738;GREAT BRAND NEW 1 BED! TIMES SQ!!!!;914838;Lior;Manhattan;Hell's Kitchen;Entire home/apt;80;30;12;16/06/2019;0.18;7;365
1654929;COZY GARDEN APT IN BKLYN BROWNSTONE;4847926;Shelley;Brooklyn;Flatbush;Entire home/apt;95;2;147;17/06/2019;2.09;3;275
1655550;Gorgeous NewModern_BestLocation!NYC;2119276;Host;Manhattan;Hell's Kitchen;Entire home/apt;185;30;7;26/12/2018;0.13;39;347
1655824;Art House Suite;5942292;@ Art House Monique;Brooklyn;Bedford-Stuyvesant;Entire home/apt;100;1;59;19/06/2019;0.84;4;165
1655880;4BD, 2 Bath Apt Flatiron on 6th Ave;8778889;Steven;Manhattan;Flatiron District;Entire home/apt;1200;1;0;;;1;0
1656254;Habitat 101. Amazing 1br Loft Apartment;7503643;Vida;Brooklyn;Greenpoint;Entire home/apt;149;30;9;13/10/2018;0.14;52;341
1656539;West Village townhouse private suite incl bath;93790;Ann;Manhattan;West Village;Private room;139;1;203;01/07/2019;2.87;2;32
1656585;Sunny 1bd - Near SOHO Washington SQ;1147345;Molly;Manhattan;Greenwich Village;Entire home/apt;226;3;25;02/01/2019;0.36;1;80
